,Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro,0 - 62 MPH (Sec) Estimation,Top Speed (MPH) Estimation,Range (Mi) Estimation,Efficiency (Wh/mi) Estimation,0_62_mph_raw,top_speed_raw,range_raw,efficiency_raw
39,Fiat,500e 3+1,37.3,B,FWD,Hatchback,4,9,93,190,240,29560.0,0,0,0,0,9.0,93.0,190.0,240.0
40,Fiat,500e Cabrio,37.3,B,FWD,Cabrio,4,9,93,155*,245*,30560.0,0,0,1,1,9.0,93.0,155.0,245.0
41,Fiat,500e Hatchback 24 kWh,23.8,B,FWD,Hatchback,4,9.5,84,245*,235*,23560.0,0,0,1,1,9.5,84.0,245.0,235.0
42,Fiat,500e Hatchback 42 kWh,37.3,B,FWD,Hatchback,4,9,93,235,240,27560.0,0,0,0,0,9.0,93.0,235.0,240.0
43,Ford,Mustang Mach-E ER AWD,88.0,D,AWD,SUV,5,5.8,112,140*,335*,62900.0,0,0,1,1,5.8,112.0,140.0,335.0
44,Ford,Mustang Mach-E ER RWD,88.0,D,RWD,SUV,5,7,112,260*,325*,54475.0,0,0,1,1,7.0,112.0,260.0,325.0
45,Ford,Mustang Mach-E SR AWD,68.0,D,AWD,SUV,5,6.3,112,200*,330*,54000.0,0,0,1,1,6.3,112.0,200.0,330.0
46,Ford,Mustang Mach-E SR RWD,68.0,D,RWD,SUV,5,6.9,112,245*,315*,46900.0,0,0,1,1,6.9,112.0,245.0,315.0
47,Honda,e,28.5,B,RWD,Hatchback,4,9,90,355,270,33850.0,0,0,0,0,9.0,90.0,355.0,270.0
48,Honda,e Advance,28.5,B,RWD,Hatchback,4,8.3,90,410,270,38000.0,0,0,0,0,8.3,90.0,410.0,270.0
49,Hyundai,IONIQ 5 Long Range 2WD,72.6,C,RWD,SUV,5,7.4,115,335*,300*,45100.0,0,0,1,1,7.4,115.0,335.0,300.0
50,Hyundai,IONIQ 5 Project 45,72.6,C,AWD,SUV,5,5.2,115,330*,315*,59550.0,0,0,1,1,5.2,115.0,330.0,315.0
51,Hyundai,IONIQ 5 Standard Range 2WD,58.0,C,RWD,SUV,5,8.5,115,220*,295*,41900.0,0,0,1,1,8.5,115.0,220.0,295.0
52,Hyundai,IONIQ 5 Standard Range AWD,58.0,C,AWD,SUV,5,6.1,115,215*,305*,45700.0,0,0,1,1,6.1,115.0,215.0,305.0
53,Hyundai,IONIQ Electric,38.3,C,FWD,Liftback,5,9.7,103,215,245,35350.0,0,0,0,0,9.7,103.0,215.0,245.0
54,Hyundai,Kona Electric 39 kWh,39.2,B,FWD,SUV,5,9.9,96,210,250,34850.0,0,0,0,0,9.9,96.0,210.0,250.0
55,Hyundai,Kona Electric 39 kWh,39.2,B,FWD,SUV,5,9.9,96,330*,250*,35650.0,0,0,1,1,9.9,96.0,330.0,250.0
